11/14/94,NFG,26.88,417,1,2,1,4,R,92
11/14/94,PCF,8.38,417,1,1,2,4,R,92
11/14/94,SENEB,27.75,313,1,1,3,1,D,83
11/15/94,BPL,32.88,417,1,1,1,4,R,100
11/15/94,CLX,56.63,313,1,2,1,1,D,92
11/15/94,KEY,26.25,417,1,1,3,4,R,83
11/15/94,IDEV,4.38,417,1,3,1,4,R,83
11/15/94,NFG,26.75,417,1,2,1,4,R,92
11/15/94,PCF,8.38,417,1,1,2,4,R,92
11/15/94,SENEB,28.75,313,1,1,3,1,D,83
11/15/94,VTN,12,415,1,1,3,4,R,83
11/16/94,NFG,26.25,417,1,2,2,4,R,83
11/16/94,SENEB,30.25,313,1,1,3,1,D,83
11/16/94,OKS,22,417,1,1,3,4,R,83
11/17/94,ESIO,19.63,313,1,2,2,1,D,83
11/17/94,JDSU,15.75,311,1,1,1,1,D,100
11/17/94,SENEB,31.5,313,1,1,2,1,D,92
11/18/94,NFG,25.38,417,1,1,3,4,R,83
11/18/94,SENEB,32,313,1,1,2,1,D,92
11/18/94,PRCP,23.75,313,1,2,1,1,D,92
11/18/94,VGZ,1.63,417,1,1,2,4,R,92
11/21/94,FNMA,69,417,1,1,3,4,R,83
11/21/94,AMN,32,415,1,2,2,4,R,83
11/21/94,JCLY,6.13,417,1,1,3,4,R,83
11/21/94,SKYW,14.75,415,1,2,2,4,R,83
11/21/94,KEY,24.75,415,1,1,3,4,R,83
11/22/94,CBRL,17.75,417,1,1,2,4,R,92
11/22/94,AMN,31.88,417,1,2,1,4,R,92
11/22/94,FNMA,68.5,417,1,1,3,4,R,83
11/22/94,HON,31,415,1,2,1,4,R,92
11/22/94,KEY,24.38,417,1,1,3,4,R,83
11/22/94,INTZ,26.25,311,1,1,3,1,D,83
11/22/94,KIM,33.63,417,1,1,1,4,R,100
11/22/94,ORI,19.25,417,1,1,3,4,R,83
11/22/94,PNBC,13.25,417,1,1,3,4,R,83
11/22/94,R,21.38,415,1,2,2,4,R,83
11/22/94,SKYW,12.75,417,1,1,1,4,R,100
11/23/94,AEM,9.88,415,1,1,3,4,R,83
11/23/94,CFR,29.25,415,1,1,2,4,R,92
11/23/94,R,21,417,1,1,2,4,R,92
11/23/94,IAF,8.75,417,1,2,2,4,R,83
11/23/94,KIM,33.25,417,1,1,1,4,R,100
11/25/94,AEM,10.13,417,1,1,3,4,R,83
11/25/94,VAL,30.63,417,1,2,2,4,R,83
11/25/94,VGZ,1.5,415,1,1,3,4,R,83
11/29/94,VGZ,1.38,417,1,1,2,4,R,92
11/29/94,CNW,19.5,417,1,3,1,4,R,83
11/29/94,TSRI,5.5,313,1,1,3,1,D,83
11/30/94,CYBE,8.63,311,1,1,1,1,D,100
11/30/94,TSRI,6.5,313,1,1,2,1,D,92
12/1/94,THRM,11.5,313,1,1,3,1,D,83
12/1/94,CYBE,8,313,1,2,2,1,D,83
12/2/94,DX,11.38,415,1,1,3,4,R,83
12/2/94,AMPH,2.75,311,1,2,1,1,D,92
12/2/94,THRM,11.5,313,1,1,3,1,D,83
12/2/94,TTI,10.25,311,1,1,2,1,D,92
12/5/94,AEM,8.63,417,1,1,3,4,R,83
12/5/94,MTW,22.38,417,1,2,1,4,R,92
12/5/94,DX,11.13,417,1,1,3,4,R,83
12/5/94,SBR,11.38,415,1,1,2,4,R,92
12/6/94,EGP,16.5,415,1,1,1,4,R,100
12/6/94,AEM,8.63,417,1,1,2,4,R,92
12/6/94,JCLY,4.75,417,1,1,2,4,R,92
