date,next_date,next_close,symbol,close,kno,w,h,e,n,rd,pct,cr,bsval1,bsval2,bsval3,bsval4
12/20/2013,12/23/2013,84.03,SNI,83.69,391,2,2,1,1,D,83,26, ,E,L,L
12/20/2013,12/23/2013,108.84,TMO,108.57,391,1,2,1,1,D,92,27,S,E,L,L
12/20/2013,12/23/2013,36.38,TXT,37.29,313,1,1,2,1,D,92,29,S,E,L,L
12/23/2013,12/24/2013,37.24,BBT,37.24,381,1,2,1,1,D,92,28,S,E,L,L
12/23/2013,12/24/2013,109.41,TMO,108.84,381,2,2,1,1,D,83,27, ,E,L,L
12/23/2013,12/24/2013,36.00,TXT,36.38,313,1,1,3,1,D,83,28,S,E,L,L
01/08/2014,01/09/2014,59.36,MDT,60.84,381,1,3,1,1,D,83,27,S,E,L,L
01/08/2014,01/09/2014,204.77,WYNN,205.29,391,1,1,2,1,D,92,27,S,E,L,L
01/08/2014,01/09/2014,96.47,ZMH,97.43,311,1,3,1,1,D,83,28,S,E,L,L
01/09/2014,01/10/2014,21.03,LUV,20.76,381,1,2,1,1,D,92,28,S,E,L,L
01/09/2014,01/10/2014,43.18,PKI,43.43,313,1,1,1,1,D,100,30,S,E,L,L
01/09/2014,01/10/2014,80.97,VAR,81.29,313,1,3,1,1,D,83,28,S,E,L,L
01/10/2014,01/13/2014,25.33,GT,25.99,313,1,3,1,1,D,83,28,S,E,L,L
01/10/2014,01/13/2014,42.35,PKI,43.18,313,2,2,1,1,D,83,28, ,E,L,L
01/13/2014,01/14/2014,25.42,JNPR,25.32,381,1,1,2,1,D,92,28,S,E,L,L
01/15/2014,01/16/2014,53.60,ADSK,53.29,381,1,2,1,1,D,92,28,S,E,L,L
01/21/2014,01/22/2014,82.18,GILD,81.58,391,1,3,1,1,D,83,26,S,E,L,L
01/21/2014,01/22/2014,84.21,PNC,84.11,313,1,1,1,1,D,100,30,S,E,L,L
01/21/2014,01/22/2014,11.02,RF,10.86,391,1,2,2,1,D,83,26,S,E,L,L
01/21/2014,01/22/2014,84.12,VRTX,85.48,321,1,2,1,1,D,92,28,S,E,L,L
01/22/2014,01/23/2014,12.07,AA,12.22,391,1,1,1,1,D,100,28,S,E,L,L
01/22/2014,01/23/2014,82.66,PNC,84.21,313,1,1,1,1,D,100,30,S,E,L,L
01/23/2014,01/24/2014,44.57,HSP,45.00,391,1,2,2,1,D,83,26,S,E,L,L
01/27/2014,01/28/2014,109.74,FFIV,106.50,311,1,1,1,1,D,100,30,S,E,L,L
01/28/2014,01/29/2014,107.48,FFIV,109.74,313,1,1,1,1,D,100,30,S,E,L,L
01/29/2014,01/30/2014,109.95,FFIV,107.48,313,2,1,1,1,D,92,29, ,E,L,L
01/30/2014,01/31/2014,107.02,FFIV,109.95,313,2,1,1,1,D,92,29, ,E,L,L
02/06/2014,02/07/2014,149.20,ORLY,146.72,311,1,1,2,1,D,92,29,S,E,L,L
02/07/2014,02/10/2014,95.56,KORS,94.22,313,1,1,3,1,D,83,28,S,E,L,L
02/07/2014,02/10/2014,54.89,MRK,54.77,331,1,1,2,1,D,92,29,S,E,L,L
02/07/2014,02/10/2014,148.19,ORLY,149.20,313,1,1,1,1,D,100,30,S,E,L,L
02/10/2014,02/11/2014,96.22,KORS,95.56,313,1,1,2,1,D,92,29,S,E,L,L
02/10/2014,02/11/2014,55.70,MRK,54.89,311,1,1,2,1,D,92,29,S,E,L,L
02/10/2014,02/11/2014,150.55,ORLY,148.19,313,2,1,2,1,D,83,28, ,E,L,L
02/11/2014,02/12/2014,175.86,ALXN,174.43,311,1,1,3,1,D,83,28,S,E,L,L
02/11/2014,02/12/2014,55.00,MRK,55.70,313,1,1,3,1,D,83,28,S,E,L,L
02/12/2014,02/13/2014,180.00,ALXN,175.86,313,1,1,1,1,D,100,30,S,E,L,L
02/12/2014,02/13/2014,122.90,TMO,121.52,391,1,2,1,1,D,92,27,S,E,L,L
02/13/2014,02/14/2014,180.55,ALXN,180.00,313,1,1,1,1,D,100,30,S,E,L,L
02/13/2014,02/14/2014,114.40,BDX,114.34,313,1,3,1,1,D,83,28,S,E,L,L
02/13/2014,02/14/2014,43.94,PCG,43.91,321,1,2,2,2,D,83,19,S,E,L,L
02/13/2014,02/14/2014,64.78,WAG,66.39,311,1,2,1,1,D,92,29,S,E,L,L
02/13/2014,02/14/2014,49.89,XLNX,49.98,391,1,2,2,1,D,83,26,S,E,L,L
02/14/2014,02/18/2014,181.06,ALXN,180.55,313,2,1,1,1,D,92,29, ,E,L,L
02/14/2014,02/18/2014,18.85,AMAT,18.96,391,1,2,2,1,D,83,26,S,E,L,L
02/14/2014,02/18/2014,154.76,ORLY,154.81,311,1,1,3,1,D,83,28,S,E,L,L
02/18/2014,02/19/2014,93.98,FRX,91.04,381,1,1,2,1,D,92,28,S,E,L,L
02/18/2014,02/19/2014,153.21,ORLY,154.76,313,2,1,2,1,D,83,28, ,E,L,L
02/18/2014,02/19/2014,61.81,PCAR,62.29,391,1,2,2,1,D,83,26,S,E,L,L
02/19/2014,02/20/2014,220.37,ACT,210.56,313,1,1,2,1,D,92,29,S,E,L,L
02/19/2014,02/20/2014,18.78,NVDA,18.14,391,2,1,1,1,D,92,27, ,E,L,L
02/20/2014,02/21/2014,218.41,ACT,220.37,313,1,1,1,1,D,100,30,S,E,L,L
02/20/2014,02/21/2014,61.16,BWA,60.42,391,1,2,2,1,D,83,26,S,E,L,L
02/20/2014,02/21/2014,107.70,HSY,107.71,391,1,1,1,1,D,100,28,S,E,L,L
02/20/2014,02/21/2014,22.00,NBR,21.96,391,1,1,3,1,D,83,26,S,E,L,L
02/21/2014,02/24/2014,222.37,ACT,218.41,313,1,1,1,1,D,100,30,S,E,L,L
02/21/2014,02/24/2014,62.45,CERN,62.08,391,1,1,3,1,D,83,26,S,E,L,L
02/21/2014,02/24/2014,82.82,COL,81.97,313,1,2,1,1,D,92,29,S,E,L,L
02/21/2014,02/24/2014,22.18,NBR,22.00,381,1,1,2,1,D,92,28,S,E,L,L
02/21/2014,02/24/2014,36.73,PEG,36.58,381,1,1,2,1,D,92,28,S,E,L,L
02/21/2014,02/24/2014,37.03,SWY,36.84,391,1,3,1,1,D,83,26,S,E,L,L
02/24/2014,02/25/2014,225.00,ACT,222.37,313,2,1,1,1,D,92,29, ,E,L,L
02/24/2014,02/25/2014,82.42,COL,82.82,313,1,2,1,1,D,92,29,S,E,L,L
02/24/2014,02/25/2014,110.49,HUM,113.69,391,1,1,2,1,D,92,27,S,E,L,L
02/24/2014,02/25/2014,53.86,MAR,53.47,313,1,2,2,1,D,83,28,S,E,L,L
02/24/2014,02/25/2014,37.13,SWY,37.03,381,1,3,1,1,D,83,27,S,E,L,L
02/25/2014,02/26/2014,117.47,APD,119.67,391,2,2,1,1,D,83,26, ,E,L,L
02/25/2014,02/26/2014,717.27,GHC,724.50,391,1,2,1,1,D,92,27,S,E,L,L
02/25/2014,02/26/2014,53.44,MAR,53.86,313,1,2,2,1,D,83,28,S,E,L,L
02/28/2014,03/03/2014,58.31,EBAY,58.77,311,1,3,1,1,D,83,28,S,E,L,L
03/04/2014,03/05/2014,58.86,EBAY,59.06,313,2,2,1,1,D,83,28, ,E,L,L
03/04/2014,03/05/2014,111.84,GD,112.66,391,1,1,3,1,D,83,26,S,E,L,L
03/04/2014,03/05/2014,95.28,IFF,95.98,313,1,1,1,1,D,100,30,S,E,L,L
03/04/2014,03/05/2014,53.48,LO,55.26,391,1,1,3,1,D,83,26,S,E,L,L
03/05/2014,03/06/2014,95.23,IFF,95.28,313,1,2,2,1,D,83,28,S,E,L,L
03/05/2014,03/06/2014,91.06,LYB,90.10,391,1,1,3,1,D,83,26,S,E,L,L
03/05/2014,03/06/2014,185.86,UNP,184.34,391,1,2,1,1,D,92,27,S,E,L,L
03/05/2014,03/06/2014,99.23,VNO,99.20,313,1,2,2,1,D,83,28,S,E,L,L
03/06/2014,03/07/2014,79.64,DTV,79.99,391,1,1,2,1,D,92,27,S,E,L,L
03/06/2014,03/07/2014,90.90,LYB,91.06,381,1,1,3,1,D,83,27,S,E,L,L
03/06/2014,03/07/2014,187.57,UNP,185.86,381,1,2,1,1,D,92,28,S,E,L,L
03/06/2014,03/07/2014,99.15,VNO,99.23,313,2,2,1,1,D,83,28, ,E,L,L
03/07/2014,03/10/2014,82.51,DOV,82.27,391,1,2,1,1,D,92,27,S,E,L,L
03/14/2014,03/17/2014,43.52,SO,43.49,321,1,3,1,8,D,83,20,S,E,L,L
03/19/2014,03/20/2014,70.48,FSLR,69.40,391,1,2,2,1,D,83,26,S,E,L,L
03/19/2014,03/20/2014,99.71,WLP,99.05,391,1,1,1,1,D,100,28,S,E,L,L
03/20/2014,03/21/2014,73.37,FSLR,70.48,381,1,2,2,1,D,83,27,S,E,L,L
03/20/2014,03/21/2014,46.57,SWN,45.65,311,2,2,1,1,D,83,28, ,E,L,L
