date,symbol,close,kno,w,h,e,n,rd,pct,cr
8/22/08,SLB,97.26,757,0,7,3,9,R,29,25
8/22/08,STT,66.95,567,0,9,0,7,R,12,25
8/22/08,UNP,79.55,753,0,6,0,1,R,83,26
8/22/08,VAR,64.15,343,0,1,0,1,D,67,25
8/25/08,ADP,44.1,664,0,7,3,8,D,29,8
8/25/08,ALTR,22.61,673,0,7,0,2,R,85,8
8/25/08,CMCSK,20.68,854,0,7,5,8,D,21,7
8/25/08,DPS,24.17,854,0,7,0,8,D,15,8
8/25/08,LLTC,32.74,873,0,8,0,8,R,87,7
8/25/08,MYL,13.2,873,0,7,5,8,R,79,7
8/25/08,PM,54.87,694,0,8,3,2,D,28,7
8/25/08,RHI,25.63,853,0,7,0,8,D,15,8
8/25/08,TMO,60.01,873,0,7,0,8,R,85,8
8/25/08,TSN,16.21,854,0,7,0,8,D,15,8
8/25/08,ZMH,71.95,854,0,6,5,8,D,22,7
8/25/08,ADBE,43.67,773,0,7,5,5,D,21,25
8/25/08,AMGN,63.96,313,0,2,0,1,D,50,26
8/25/08,AMT,40.08,567,0,7,3,7,R,29,25
8/25/08,CNP,15.99,563,0,9,0,7,R,88,25
8/25/08,COP,81.82,757,0,6,4,7,R,26,27
8/25/08,COST,66.45,777,0,7,0,7,D,85,25
8/25/08,FDX,80.91,563,0,9,0,7,R,88,25
8/25/08,IRM,28.21,573,0,8,0,7,D,13,25
8/25/08,KIM,34.88,567,0,9,0,7,R,12,25
8/25/08,MA,234.2,777,0,5,5,7,D,76,27
8/25/08,MMM,70.73,567,0,9,0,7,R,12,25
8/25/08,POM,24.81,757,0,7,4,7,R,25,26
8/25/08,PRU,69.92,773,0,7,0,7,D,15,25
8/25/08,SLB,96.18,757,0,7,3,9,R,29,25
8/25/08,UNP,79.52,753,0,6,0,1,R,83,26
8/26/08,ALTR,22.64,673,0,7,0,2,R,85,8
8/26/08,CMCSA,21.09,664,0,6,5,2,D,22,8
8/26/08,CMCSK,20.98,854,0,6,5,2,D,22,6
8/26/08,DPS,24.15,854,0,7,0,8,D,15,8
8/26/08,JBL,16.62,664,0,9,0,2,D,12,7
8/26/08,LLTC,32.74,873,0,8,0,8,R,87,7
8/26/08,MDLZ,32.07,671,0,5,5,8,R,76,7
8/26/08,MU,4.24,475,1,3,0,4,R,60,8
8/26/08,MYL,13.31,873,0,7,5,8,R,79,7
8/26/08,NU,27.53,664,0,5,5,8,D,24,8
8/26/08,PM,54.64,694,0,8,3,2,D,28,7
8/26/08,PRGO,35.15,664,0,9,0,8,D,12,8
8/26/08,RHI,25.65,853,0,7,0,8,D,15,8
8/26/08,SNI,41.76,664,0,9,0,2,D,12,7
8/26/08,TDC,24.57,661,0,6,4,8,D,26,8
8/26/08,TMO,60.23,873,0,7,0,8,R,85,8
8/26/08,ZMH,72.13,854,0,6,5,8,D,22,7
8/26/08,ADBE,43.36,773,0,7,5,5,D,21,25
8/26/08,AMGN,63.93,313,0,2,0,1,D,50,26
8/26/08,CAM,47.96,757,0,7,3,9,R,29,25
8/26/08,COP,82.38,757,0,7,4,7,R,25,26
8/26/08,COST,66.52,777,0,7,0,7,D,85,25
8/26/08,FDX,80.88,563,0,9,0,7,R,88,25
8/26/08,IRM,28.13,573,0,8,0,7,D,13,25
8/26/08,KIM,35.29,563,0,9,0,7,R,88,25
8/26/08,L,41.89,567,0,5,5,7,R,24,25
8/26/08,MA,236.75,777,0,6,5,7,D,78,26
8/26/08,MMM,70.72,567,0,9,0,7,R,12,25
8/26/08,NKE,58.92,777,0,7,5,7,D,79,26
8/26/08,POM,25.05,757,0,8,0,7,R,13,26
8/26/08,RAI,53.57,573,4,7,0,7,D,25,25
8/26/08,SJM,54.48,313,0,2,0,1,D,50,26
8/26/08,SWK,46.68,753,0,7,0,7,R,85,25
8/26/08,UNP,81.12,753,0,5,5,1,R,76,29
8/27/08,ADP,44.79,664,0,5,5,2,D,24,7
8/27/08,CLF,99.26,668,0,8,0,2,D,87,8
8/27/08,CMCSA,21.28,664,0,5,5,2,D,24,7
8/27/08,CMCSK,21.13,854,0,5,5,2,D,24,5
8/27/08,DPS,24.9,854,0,6,0,2,D,17,8
8/27/08,FSLR,277,664,0,8,0,2,D,13,8
8/27/08,JBL,16.99,664,0,8,0,2,D,13,8
8/27/08,LLTC,32.99,873,0,8,0,8,R,87,7
8/27/08,MDLZ,32.08,673,0,5,5,8,R,76,7
8/27/08,MYL,13.19,873,0,7,5,8,R,79,7
8/27/08,PLD,42.66,418,0,3,0,4,R,33,7
8/27/08,SNI,41.41,664,0,9,0,8,D,12,8
8/27/08,TDC,24.74,664,0,6,4,8,D,26,8
8/27/08,TMO,60.7,873,0,6,0,2,R,83,8
8/27/08,ZMH,71.77,854,0,7,5,8,D,21,7
8/27/08,ADBE,44.15,773,0,6,5,1,D,22,28
8/27/08,AMGN,63.71,313,0,3,0,1,D,33,26
8/27/08,BSX,12.5,577,0,8,0,7,D,87,25
8/27/08,BXP,102.06,753,0,5,5,1,R,76,29
8/27/08,CAM,48.5,757,0,7,3,9,R,29,25
8/27/08,CNP,15.84,755,0,9,3,7,R,27,26
8/27/08,COST,66.71,777,0,7,0,7,D,85,25
8/27/08,MA,236.97,777,0,6,5,7,D,78,26
8/27/08,MMM,70.72,567,0,9,0,7,R,12,25
8/27/08,POM,25.51,753,0,7,0,7,R,85,25
8/27/08,SJM,54.59,313,0,2,0,1,D,50,26
8/27/08,STT,66.42,567,0,9,0,7,R,12,25
8/27/08,UNP,82.17,753,4,4,5,1,R,63,29
8/28/08,ACE,52.27,673,0,9,0,8,R,88,7
8/28/08,ACN,41.36,673,0,7,0,2,R,85,8
8/28/08,ADP,44.93,664,0,5,5,2,D,24,7
8/28/08,AON,47.98,661,0,6,4,8,D,26,8
8/28/08,BCR,94.91,664,0,5,5,8,D,24,8
8/28/08,CLF,101.57,664,0,9,0,2,D,12,7
8/28/08,CMCSA,21.66,664,0,5,5,2,D,24,7
8/28/08,CMCSK,21.46,854,0,5,5,2,D,24,5
8/28/08,DPS,24.81,854,0,6,0,2,D,17,8
8/28/08,ETFC,3.11,856,0,9,0,0,D,88,8
8/28/08,FSLR,278,664,0,8,0,2,D,13,8
8/28/08,LLTC,33.25,873,0,7,0,8,R,85,8
8/28/08,MCHP,32.72,873,0,7,0,8,R,85,8
8/28/08,MDLZ,32.08,673,0,5,5,8,R,76,7
8/28/08,PLL,41.52,653,0,7,3,2,D,29,8
8/28/08,PPG,63.51,873,0,5,5,8,R,76,6
8/28/08,PRGO,35.26,664,0,9,0,8,D,12,8
8/28/08,SNI,41.68,664,0,9,0,2,D,12,7
8/28/08,ZMH,72.69,854,0,6,5,8,D,22,7
8/28/08,ADBE,44.31,773,0,6,5,1,D,22,28
8/28/08,AMGN,64.08,313,0,3,0,1,D,33,26
8/28/08,COP,83.31,757,0,7,0,7,R,15,25
8/28/08,COST,67.81,777,0,9,0,9,D,88,25
8/28/08,FLIR,36.89,757,0,5,5,9,R,24,25
8/28/08,FLS,136.18,773,0,7,3,1,D,29,29
8/28/08,MTB,70.74,577,0,9,0,7,D,88,26
8/28/08,NKE,61.22,773,0,8,0,7,D,13,26
8/28/08,POM,25.61,753,0,7,4,7,R,75,26
8/28/08,SJM,54.68,313,0,2,0,1,D,50,26
8/28/08,TSS,20.06,567,0,5,5,7,R,24,25
8/29/08,ACN,41.36,673,0,7,0,2,R,85,8
8/29/08,ALTR,22.64,673,0,7,5,8,R,79,8
8/29/08,CLF,101.22,668,0,9,0,2,D,88,7
8/29/08,CMCSA,21.18,664,0,6,5,2,D,22,8
8/29/08,CMCSK,21.14,854,0,5,5,2,D,24,5
8/29/08,DPS,24.71,854,0,7,0,2,D,15,7
8/29/08,ETFC,3.2,853,0,9,0,0,D,12,8
8/29/08,FSLR,276.65,664,0,8,0,2,D,13,8
8/29/08,JBL,16.86,664,0,8,0,2,D,13,8
8/29/08,LEN,13.15,663,4,6,1,8,D,55,8
8/29/08,LLTC,32.64,873,0,9,5,8,R,81,8
8/29/08,M,20.82,664,4,6,0,8,D,26,8
8/29/08,PRGO,34.99,664,0,9,0,8,D,12,8
8/29/08,RHI,25.6,854,0,7,0,8,D,15,8
8/29/08,SRCL,59.3,673,0,6,5,2,R,78,7
8/29/08,TMO,60.56,854,0,6,0,2,D,17,8
8/29/08,ZMH,72.39,854,0,6,5,8,D,22,7
8/29/08,ADBE,42.83,773,0,8,3,5,D,28,25
