date,symbol,close,kno,w,h,e,n,rd,pct,cr
12/24/07,HP,39.84,311,1,1,2,1,D,92,29
12/24/07,HRL,41.7,313,1,2,3,1,D,75,27
12/24/07,HUM,77.09,573,0,6,5,1,D,22,27
12/24/07,INTC,27.31,553,4,6,0,1,R,74,26
12/24/07,JCI,36.33,567,0,5,5,7,R,24,25
12/24/07,MSFT,36.58,321,1,3,0,1,D,60,25
12/24/07,MUR,82.82,381,1,3,0,1,D,60,25
12/24/07,PRGO,35.6,383,2,1,1,1,D,92,28
12/24/07,RRC,51.27,313,1,1,1,1,D,100,30
12/24/07,SPG,93.71,757,0,7,0,7,R,15,25
12/24/07,UNM,24.37,573,0,8,0,7,D,13,25
12/24/07,WLP,89.72,131,1,1,3,1,D,83,25
12/26/07,AEE,54.26,854,0,7,0,2,D,15,7
12/26/07,AGN,65.59,684,0,9,0,2,D,12,7
12/26/07,ALTR,19.68,853,0,9,0,0,D,12,8
12/26/07,BMS,27.16,856,0,7,3,0,D,71,8
12/26/07,CLX,66.25,673,0,6,4,2,R,74,6
12/26/07,ETR,119.32,664,0,8,3,2,D,28,8
12/26/07,EXPE,32.56,673,0,7,5,2,R,79,7
12/26/07,FCX,106.66,664,0,8,0,2,D,13,8
12/26/07,FISV,55.71,853,0,5,5,2,D,24,5
12/26/07,GAS,44.38,664,0,6,4,8,D,26,8
12/26/07,HCBK,15.2,853,0,7,0,2,D,15,7
12/26/07,IBM,111.56,854,0,7,0,8,D,15,8
12/26/07,JWN,36.54,854,0,9,0,0,D,12,8
12/26/07,MCD,59.88,854,0,7,0,2,D,15,7
12/26/07,MDLZ,33.52,673,0,9,0,8,R,88,7
12/26/07,ROST,25.49,858,0,7,3,0,D,71,8
12/26/07,RSG,32.33,658,0,7,3,2,D,71,8
12/26/07,SCG,42.6,854,0,7,0,8,D,15,8
12/26/07,SLB,98.55,651,0,7,3,2,D,29,8
12/26/07,TDC,27.04,854,0,9,3,8,D,27,7
12/26/07,UNP,128,694,0,8,4,2,D,24,7
12/26/07,ADM,45.75,313,1,1,2,1,D,92,29
12/26/07,AKAM,36.8,771,0,9,0,7,D,12,27
12/26/07,BBY,53.38,381,1,3,0,1,D,60,25
12/26/07,BCR,94.75,313,2,1,2,1,D,83,28
12/26/07,BLL,46.06,777,0,7,0,7,D,85,25
12/26/07,CF,116.56,341,1,2,3,1,D,75,25
12/26/07,CNX,73.58,313,2,2,0,1,D,60,26
12/26/07,COG,40.51,363,1,3,1,1,D,83,25
12/26/07,CTL,42.07,757,0,7,4,7,R,25,26
12/26/07,DFS,15.71,757,0,7,0,7,R,15,25
12/26/07,HES,104.4,393,1,1,2,1,D,92,27
12/26/07,HIG,89.13,757,0,6,5,7,R,22,26
12/26/07,HP,40.27,313,4,1,1,1,D,80,27
12/26/07,HRL,41.31,313,0,2,0,1,D,50,26
12/26/07,HSP,43.48,313,0,4,0,1,D,27,25
12/26/07,MUR,84.36,383,1,2,0,1,D,70,26
12/26/07,NDAQ,50,311,2,3,0,1,D,50,25
12/26/07,ORLY,32.32,577,0,9,0,7,D,88,26
12/26/07,OXY,78.06,383,1,3,0,1,D,60,25
12/26/07,PCG,43.79,567,4,5,5,3,R,33,25
12/26/07,PRGO,36.19,383,1,1,2,1,D,92,28
12/26/07,RIG,149.05,311,4,1,3,1,D,63,25
12/26/07,RRC,51.5,313,2,1,1,1,D,92,29
12/26/07,SNA,48.07,563,0,9,0,7,R,88,25
12/26/07,TSO,48.42,777,0,6,0,3,D,83,25
12/26/07,UNM,24,577,0,9,0,7,D,88,26
12/26/07,WDC,30.58,383,0,3,0,1,D,33,25
12/27/07,AEE,53.87,854,0,8,5,2,D,20,8
12/27/07,ALTR,19.39,858,0,9,0,0,D,88,8
12/27/07,BMS,26.9,858,0,7,3,0,D,71,8
12/27/07,CLX,65.66,673,0,7,4,8,R,75,8
12/27/07,COV,44.75,664,0,7,3,8,D,29,8
12/27/07,DRI,27.48,448,0,1,0,4,R,67,8
12/27/07,ETR,118.91,664,0,9,3,2,D,27,8
12/27/07,EXPE,31.96,673,0,9,3,8,R,73,8
12/27/07,FCX,103.91,668,0,9,0,2,D,88,7
12/27/07,GAS,43.83,664,0,6,4,8,D,26,8
12/27/07,IBM,109.6,854,0,8,0,8,D,13,7
12/27/07,JWN,36.05,854,0,9,0,0,D,12,8
12/27/07,MCD,59.19,854,0,9,0,2,D,12,5
12/27/07,MS,53.32,858,0,7,3,0,D,71,8
12/27/07,NOV,73.75,664,0,7,5,2,D,21,8
12/27/07,NVDA,35.14,664,0,8,0,2,D,13,8
12/27/07,PLL,40.98,664,0,7,3,8,D,29,8
12/27/07,PXD,48.65,661,0,8,4,2,D,24,8
12/27/07,SCG,42.48,854,0,7,0,2,D,15,7
12/27/07,TDC,26.8,854,0,9,3,8,D,27,7
12/27/07,UNP,127.3,694,0,9,0,2,D,12,6
12/27/07,ACN,36.86,753,0,8,2,7,R,62,27
12/27/07,ADM,46.04,313,1,1,1,1,D,100,30
12/27/07,AKAM,35.46,777,0,8,0,7,D,87,26
12/27/07,AZO,120.28,573,0,8,0,7,D,13,25
12/27/07,BCR,94.23,313,0,1,3,1,D,60,26
12/27/07,CERN,56.83,567,0,7,3,7,R,29,25
12/27/07,CNX,71.13,313,0,2,0,1,D,50,26
12/27/07,CTL,41.62,757,0,6,4,7,R,26,27
12/27/07,DFS,15.2,757,0,7,5,7,R,21,26
12/27/07,ECL,52.23,313,0,2,0,1,D,50,26
12/27/07,EMR,56.92,573,0,5,5,5,D,24,25
12/27/07,HP,39.87,313,0,1,3,1,D,60,26
12/27/07,HRL,41.28,313,0,2,0,1,D,50,26
12/27/07,IRM,37.41,313,0,5,0,1,D,20,25
12/27/07,KMX,19.53,567,0,5,5,3,R,24,26
12/27/07,MNST,45.19,577,0,5,5,7,D,76,26
12/27/07,MUR,83.89,383,0,3,0,1,D,33,25
12/27/07,NDAQ,48.61,313,0,4,0,1,D,27,25
12/27/07,ORLY,32.2,577,0,9,0,7,D,88,26
12/27/07,OXY,78.03,383,0,3,0,1,D,33,25
12/27/07,PCG,43.42,567,4,4,5,3,R,37,26
12/27/07,PRGO,36.09,383,0,1,3,1,D,60,25
12/27/07,RIG,146.9,313,0,1,3,1,D,60,26
12/27/07,RRC,51.18,313,0,1,3,1,D,60,26
12/27/07,SNA,48.01,563,0,9,0,7,R,88,25
12/27/07,UNM,23.83,577,0,8,0,7,D,87,25
12/28/07,AEE,54.43,854,0,7,0,2,D,15,7
12/28/07,ALTR,19.31,858,0,9,0,0,D,88,8
12/28/07,CLX,65.57,673,0,7,4,8,R,75,8
12/28/07,COV,44.77,664,0,7,3,8,D,29,8
12/28/07,EQT,53.71,666,0,9,0,2,D,88,7
12/28/07,ETR,120.74,664,0,7,3,2,D,29,7
12/28/07,FCX,104.55,664,0,9,0,2,D,12,7
12/28/07,FDX,90.62,495,1,2,0,4,R,70,8
12/28/07,HAS,25.91,678,0,5,5,6,R,24,8
12/28/07,IBM,110.09,854,0,7,0,8,D,15,8
12/28/07,LUV,12.23,415,3,2,0,4,R,50,8
12/28/07,MCD,59.5,854,0,8,0,2,D,13,6
12/28/07,NVDA,34.79,664,0,8,0,2,D,13,8
12/28/07,ROK,69.76,854,0,7,0,8,D,15,8
12/28/07,ROST,25.34,858,0,7,3,0,D,71,8
12/28/07,SCG,42.5,854,0,7,0,2,D,15,7
12/28/07,SLM,19.65,488,3,1,3,4,R,67,8
12/28/07,TDC,27.5,853,0,8,3,8,D,28,7
12/28/07,UNP,127.73,694,0,9,0,2,D,12,6
12/28/07,VTR,43.95,654,0,7,3,2,D,29,8
12/28/07,ACN,36.88,753,0,8,3,7,R,72,26
12/28/07,ADM,47.09,313,1,1,3,1,D,83,28
12/28/07,AKAM,35.35,777,0,7,0,7,D,85,25
12/28/07,AZO,118.85,573,0,9,0,7,D,12,26
12/28/07,BCR,95.05,313,0,1,3,1,D,60,26
12/28/07,CNP,17.47,567,0,9,0,7,R,12,25
12/28/07,CNX,71.76,313,0,2,0,1,D,50,26
12/28/07,CRM,64.4,383,0,3,0,1,D,33,25
12/28/07,CTL,41.44,757,0,6,4,7,R,26,27
12/28/07,DFS,14.94,757,0,7,0,7,R,15,25
12/28/07,ECL,52.07,313,0,2,0,1,D,50,26
12/28/07,EMR,57.03,573,0,5,5,5,D,24,25
12/28/07,HRL,41.26,313,0,2,0,1,D,50,26
12/28/07,HSP,43.29,313,0,5,0,1,D,20,25
12/28/07,JCI,36.8,567,0,6,4,7,R,26,25
12/28/07,MNST,44.48,577,0,5,5,7,D,76,26
12/28/07,MOS,95.84,311,2,2,0,1,D,60,26
12/28/07,MUR,85.38,383,2,2,0,1,D,60,25
12/28/07,NDAQ,49.12,313,0,4,0,1,D,27,25
12/28/07,ORLY,32.54,573,0,8,0,7,D,13,25
12/28/07,OXY,78.1,383,0,3,0,1,D,33,25
12/28/07,RIG,146.02,313,0,1,3,1,D,60,26
12/28/07,RRC,51.63,313,0,1,0,1,D,67,27
12/28/07,SNA,48.13,563,0,9,0,7,R,88,25
12/28/07,UNM,23.88,577,0,8,0,7,D,87,25
12/31/07,AEE,54.21,854,0,7,0,2,D,15,7
12/31/07,AMGN,46.44,488,0,2,0,4,R,50,8
12/31/07,APD,98.63,684,0,9,0,8,D,12,8
12/31/07,CAM,48.13,673,0,9,0,2,R,88,6
12/31/07,CMS,17.38,853,0,7,5,8,D,21,7
12/31/07,DRI,27.71,447,0,1,1,4,R,80,7
12/31/07,ETR,119.52,664,0,8,0,2,D,13,8
12/31/07,FCX,102.44,668,0,9,0,2,D,88,7
12/31/07,FDX,89.17,485,1,2,3,4,R,75,7
12/31/07,FISV,55.49,854,0,6,5,8,D,22,7
12/31/07,HAS,25.58,678,0,5,5,6,R,24,8
12/31/07,HCBK,15.02,854,0,9,0,2,D,12,5
12/31/07,IBM,108.1,858,0,9,0,8,D,88,6
12/31/07,LUV,12.2,417,2,2,0,4,R,60,7
12/31/07,MU,7.25,417,0,2,0,4,R,50,7
12/31/07,NFLX,26.62,671,0,6,5,8,R,78,8
12/31/07,NVDA,34.02,668,0,9,0,2,D,88,7
12/31/07,PETM,23.53,495,1,2,0,4,R,70,8
12/31/07,ROK,68.96,854,0,9,5,8,D,19,8
12/31/07,SCG,42.15,854,0,9,0,8,D,12,6
12/31/07,SLM,20.14,487,2,1,3,4,R,75,7
12/31/07,TDC,27.41,854,0,8,0,8,D,13,7
12/31/07,TE,17.21,664,0,9,0,8,D,12,8
12/31/07,ACN,36.03,757,0,8,0,7,R,13,26
12/31/07,ADM,46.43,313,0,1,4,1,D,56,25
12/31/07,AKAM,34.6,777,0,7,0,7,D,85,25
12/31/07,AME,46.84,553,0,7,5,1,R,79,25
12/31/07,AZO,119.91,573,0,8,0,7,D,13,25
12/31/07,BCR,94.8,313,0,1,0,1,D,67,27
12/31/07,CRM,62.69,383,0,3,0,1,D,33,25
12/31/07,DFS,15.08,757,0,7,5,7,R,21,26
12/31/07,ECL,51.21,313,0,3,0,1,D,33,26
12/31/07,EXPD,44.68,577,0,6,5,7,D,78,25
12/31/07,FSLR,267.14,383,0,3,0,1,D,33,25
12/31/07,HES,100.86,393,0,1,0,1,D,67,25
12/31/07,HP,40.07,313,0,1,0,1,D,67,27
12/31/07,JCI,36.04,567,0,5,5,7,R,24,25
12/31/07,MMM,84.32,562,0,9,0,7,R,88,25
12/31/07,MNST,44.29,577,0,5,5,7,D,76,26
12/31/07,MOS,94.34,313,0,2,0,1,D,50,26
12/31/07,MUR,84.84,383,0,2,0,1,D,50,25
12/31/07,NDAQ,49.49,313,0,4,0,1,D,27,25
12/31/07,ORLY,32.43,573,0,9,0,7,D,12,26
12/31/07,PRGO,35.01,383,0,2,0,1,D,50,25
12/31/07,RIG,143.15,313,0,1,0,1,D,67,27
12/31/07,RRC,51.36,313,0,2,0,1,D,50,26
12/31/07,SNA,48.24,563,0,9,0,7,R,88,25
1/2/08,ABC,44.55,854,0,9,0,0,D,12,8
1/2/08,BBT,29.55,495,1,1,3,4,R,83,7
1/2/08,CHRW,51.88,663,0,6,4,8,D,26,8
1/2/08,DRI,26.65,447,3,1,2,4,R,75,8
1/2/08,EQT,54.12,664,0,8,3,2,D,28,8
1/2/08,FCX,103.29,668,0,9,0,2,D,88,7
1/2/08,FDX,86.16,487,1,1,2,4,R,92,5
1/2/08,JWN,35.42,858,0,9,0,0,D,88,8
1/2/08,LUV,11.8,417,1,2,4,4,R,72,7
1/2/08,MU,7.04,417,1,2,0,4,R,70,6
1/2/08,NFLX,26.35,673,0,6,4,8,R,74,7
1/2/08,NRG,42.82,664,0,9,0,8,D,12,8
1/2/08,SBUX,19.31,417,1,1,4,4,R,80,6
1/2/08,SLM,19.36,487,2,1,3,4,R,75,7
1/2/08,SRE,61.41,664,0,9,0,8,D,12,8
1/2/08,TDC,26.84,854,0,9,0,8,D,12,6
1/2/08,UPS,69.16,495,1,2,0,4,R,70,8
1/2/08,VRSN,37.17,673,0,7,0,2,R,85,8
1/2/08,ACN,36.06,757,0,9,0,7,R,12,27
1/2/08,ADS,74.18,567,0,5,5,7,R,24,25
1/2/08,AKAM,33.2,777,0,6,0,3,D,83,25
1/2/08,AZO,116.21,577,0,7,4,7,D,75,25
1/2/08,BCR,92.33,313,0,2,0,1,D,50,26
1/2/08,CINF,38.33,565,0,6,4,7,R,26,25
1/2/08,CNP,16.87,567,4,6,0,7,R,26,25
1/2/08,CSX,43.45,573,0,9,0,7,D,12,26
1/2/08,CTXS,38.05,777,0,7,3,9,D,71,25
1/2/08,DFS,14.9,757,0,7,5,7,R,21,26
1/2/08,ECL,51.03,313,0,3,0,1,D,33,26
1/2/08,EOG,91.29,563,0,5,5,1,R,76,27
1/2/08,EXPD,43.49,577,0,5,5,7,D,76,26
1/2/08,K,51.57,557,4,4,3,3,R,43,25
1/2/08,KMB,68.82,755,0,8,0,7,R,13,26
1/2/08,KMX,20.07,775,0,7,0,3,D,85,26
1/2/08,MNST,43.18,577,0,5,5,7,D,76,26
1/2/08,MOS,94.74,313,0,2,0,1,D,50,26
1/2/08,MUR,85.85,383,0,2,0,1,D,50,25
1/2/08,NDAQ,48.23,313,0,5,0,1,D,20,25
1/2/08,OKE,44.72,567,0,5,5,7,R,24,25
1/2/08,PDCO,33.1,587,0,5,5,7,R,24,25
1/2/08,PRU,91.05,567,0,6,4,7,R,26,25
1/2/08,RIG,145.95,313,0,1,0,1,D,67,27
1/2/08,TIF,43.95,567,0,5,5,3,R,24,26
1/3/08,ALTR,18.75,858,0,7,3,0,D,71,8
1/3/08,BAX,58.61,668,0,9,0,8,D,88,8
1/3/08,BBT,29.12,497,1,1,2,4,R,92,6
1/3/08,CHRW,51.95,664,0,6,4,8,D,26,8
1/3/08,COV,42.66,871,0,8,3,8,R,72,7
1/3/08,CSC,45.19,485,1,2,3,4,R,75,7
1/3/08,DRI,26.11,447,1,1,2,4,R,92,6
1/3/08,EQT,54.07,664,0,9,3,2,D,27,8
1/3/08,FCX,104.11,664,0,9,0,2,D,12,7
1/3/08,FDX,87.31,487,1,1,2,4,R,92,5
1/3/08,FISV,54.9,854,0,7,0,8,D,15,8
