MRO,851
MRO,28.38
MS,692
MS,39.01
MWV,692,311,313,313,313,313,313,313,313,313,313
MWV,52.94
MYL,692,381,391,692,381
MYL,76.06
NEE,851
NEE,102.26
NFLX,391,381
NFLX,617.87
NFX,851
NFX,30.93
NI,692,381
NI,46.93
NKE,692
NKE,101.98
NOC,692,851
NOC,164.57
NSC,851,851
NSC,110.43
NTRS,391,692
NTRS,77.26
NUE,851
NUE,47.64
NWL,692,381,692,851
NWL,41.31
OI,851
OI,24.56
ORLY,692,692
ORLY,232.48
PCG,391,851
PCG,53.92
PCL,851,321
PCL,44.69
PCLN,851
PCLN,1194.26
PEG,851
PEG,41.96
PEP,391
PEP,100.4
PFE,391,381
PFE,34.87
PHM,851
PHM,22.44
PKI,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
PKI,51.57
PLD,311,313,313,313,313,313,313,313,313,313,313,313,313
PLD,44.77
PLL,692,692,391
PLL,123.89
PNC,331
PNC,96.63
PNW,321,311,313,313,313,313,313,313,313,313,313,313,313
PNW,69.8
PRGO,311,313,313,313,313,313,313,313,313,313,313,313,313,313
PRGO,164.71
PSA,391,381
PSA,198.5
PVH,851
PVH,117.24
PWR,851,851
PWR,29.45
R,692
R,96.37
RAI,311,313,313,313,313,313,313,313,313,313,391,692
RAI,77.55
REGN,692,381,692,381
REGN,516
RHI,692
RHI,61.35
RHT,692
RHT,79.3
ROK,851,692
ROK,124.41
ROP,391,692
ROP,170.38
ROST,692,692,381
ROST,105.81
RSG,313,313,313,313,313,313,313,313,313,311,692,851
RSG,41.02
SBUX,692,381,311,313,313,313,313,313,313,313,313,692,692
SBUX,52.69
SCG,313,313,313,321
SCG,62.62
SCHW,851
SCHW,30.5
SEE,692,381,692,381
SEE,52.16
SHW,313,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313
SHW,287.7
SIAL,851
SIAL,138.99
SJM,321,311,313,313,313,313,313,692
SJM,117.79
SO,311,313,313,313,313,313,313,313,313,313,313
SO,50.78
SPG,391
SPG,196.76
SPLS,313,313,313,313,313,313,313,313,313,313,313,692
SPLS,19.01
STI,851
STI,41.92
STJ,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313
STJ,71.76
SWK,851,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,311,313,313,313,313,313,313,313,313,313,313,851
SWK,107.5
SWN,851
SWN,25.34
SWY,692
SWY,35.22
SYY,313,313,313,313
SYY,41.13
T,851,692
T,35.91
TDC,851
TDC,44.36
TGT,692
TGT,79.3
THC,851
THC,51.81
TMK,692,851
TMK,58
TROW,851
TROW,83.99
TSN,851,692,381,391
TSN,45.01
TSO,692,381
TSO,91.67
TSS,331,331
TSS,38.03
TWC,692,381
TWC,171.18
TWX,691,851
TWX,87.22
