split,9/20/88,ETN,2.0,3.0
split,9/26/88,DOV,1.0,2.0
split,10/3/88,BCR,1.0,2.0
split,11/23/88,ADBE,1.0,2.0
split,2/15/89,GLW,1.0,2.0
split,3/13/89,VMC,1.0,4.0
split,3/15/89,CVS,1.0,2.0
split,3/27/89,CTL,2.0,3.0
split,4/17/89,USB,1.0,2.0
split,5/1/89,LLY,1.0,2.0
split,5/11/89,JNJ,1.0,2.0
split,5/12/89,SEE,1.0,4.0
split,5/18/89,AVP,3.0,4.0
split,6/12/89,BA,2.0,3.0
split,6/16/89,IPG,2.0,3.0
split,6/19/89,CA,1.0,2.0
split,6/19/89,MCD,1.0,2.0
split,6/20/89,SYK,2.0,3.0
split,7/3/89,ED,1.0,2.0
split,7/3/89,HD,2.0,3.0
split,7/3/89,SLM,2.0,5.0
split,7/17/89,TIF,2.0,3.0
split,8/22/89,ADM,100.0,105.0
split,8/31/89,MDT,1.0,2.0
split,10/2/89,CAH,4.0,5.0
split,10/11/89,MO,1.0,4.0
split,10/18/89,SYY,1.0,2.0
split,10/25/89,CMCSA,2.0,3.0
split,11/20/89,PG,1.0,2.0
split,11/21/89,DOW,2.0,3.0
split,12/4/89,CAG,2.0,3.0
split,12/5/89,ADM,2.0,3.0
split,12/19/89,EFX,1.0,2.0
split,1/2/90,TROW,1.0,2.0
split,1/16/90,BEN,2.0,3.0
split,1/22/90,DD,1.0,3.0
split,2/21/90,HRL,1.0,2.0
split,3/1/90,OKE,1.0,2.0
split,3/4/90,FTR,10000.0,10133.0
split,4/3/90,JEC,1.0,2.0
split,4/16/90,MSFT,1.0,2.0
split,5/1/90,NTRS,1.0,2.0
split,5/1/90,STJ,1.0,2.0
split,5/2/90,VZ,1.0,2.0
split,5/14/90,KO,1.0,2.0
split,5/31/90,CB,1.0,2.0
split,6/1/90,ABT,1.0,2.0
split,6/4/90,FTR,10000.0,10133.0
split,6/11/90,BA,2.0,3.0
split,7/6/90,HD,2.0,3.0
split,7/16/90,IGT,1.0,2.0
split,7/23/90,AIG,4.0,5.0
split,8/13/90,AMGN,1.0,2.0
split,8/14/90,ADM,100.0,105.0
split,8/30/90,LUV,2.0,3.0
split,9/4/90,FTR,10000.0,10133.0
split,9/5/90,PEP,1.0,3.0
split,10/1/90,CAH,4.0,5.0
split,10/1/90,DUK,1.0,2.0
split,10/23/90,GPS,1.0,2.0
split,11/8/90,GIS,1.0,2.0
split,11/22/90,FTR,10000.0,10240.0
split,1/3/91,SIAL,1.0,2.0
split,2/27/91,FTR,100.0,102.0
split,3/18/91,CSCO,1.0,2.0
