date,stock,close,kno,w,h,e,n,rd,pct
09/11/2012,GCI,17.00,311,1,3,3,1,D,67
09/13/2012,HBAN,7.05,311,1,3,1,1,D,83
09/13/2012,XL,24.45,311,1,2,2,1,D,83
09/14/2012,CVX,117.25,311,4,3,3,1,D,47
09/14/2012,DHI,21.99,311,1,2,1,1,D,92
09/14/2012,KEY,9.04,311,1,3,2,1,D,75
09/14/2012,TRV,68.58,311,1,2,3,1,D,75
09/14/2012,VMC,49.17,311,1,2,1,1,D,92
09/14/2012,WMB,35.10,311,1,3,0,1,D,60
09/17/2012,TWX,44.87,311,2,2,2,1,D,75
09/18/2012,BIIB,155.80,311,2,3,2,1,D,67
09/20/2012,CAG,27.24,311,1,1,4,1,D,80
09/21/2012,GCI,18.75,311,1,1,1,1,D,100
10/03/2012,GILD,70.00,311,4,2,1,1,D,72
10/03/2012,TWC,98.31,311,4,3,1,1,D,63
10/16/2012,NWL,20.46,311,1,2,1,1,D,92
10/18/2012,BK,24.98,311,1,3,3,1,D,67
10/18/2012,TRV,73.94,311,1,1,1,1,D,100
11/01/2012,SNA,79.17,311,1,3,2,1,D,75
11/05/2012,MHK,88.89,311,4,2,1,1,D,72
11/06/2012,AON,56.30,311,1,3,2,1,D,75
11/23/2012,AMP,61.00,311,1,5,2,1,D,68
11/23/2012,MSI,54.76,311,4,3,3,1,D,47
11/26/2012,ABC,41.45,311,1,4,0,1,D,56
11/30/2012,ECL,72.08,311,4,3,3,1,D,47
12/13/2012,CCI,70.48,311,4,3,2,1,D,55
12/18/2012,BLK,206.67,311,1,3,2,1,D,75
12/18/2012,IP,38.94,311,1,4,3,1,D,63
12/18/2012,MCK,99.62,311,1,2,3,1,D,75
12/19/2012,ORCL,34.09,311,1,3,1,1,D,83
12/20/2012,NTRS,50.21,311,1,3,1,1,D,83
01/02/2013,NTRS,51.81,311,1,2,1,1,D,92
01/03/2013,DHR,58.03,311,1,2,3,2,D,75
01/03/2013,FLS,152.32,311,4,3,3,1,D,47
01/03/2013,HIG,24.17,311,4,3,3,1,D,47
01/03/2013,HRL,33.20,311,1,1,1,1,D,100
01/03/2013,PLD,37.40,311,1,3,1,1,D,83
01/03/2013,ROK,86.19,311,4,3,1,1,D,63
01/04/2013,AGN,97.87,311,1,3,1,1,D,83
01/04/2013,AVY,36.44,311,4,3,1,1,D,63
01/04/2013,BLK,218.03,311,4,2,3,1,D,55
01/04/2013,IVZ,27.56,311,4,3,2,1,D,55
01/09/2013,CELG,92.34,311,1,1,1,1,D,100
01/09/2013,FMC,61.60,311,1,2,5,1,D,68
01/09/2013,MCK,101.10,311,2,3,2,1,D,67
01/09/2013,PWR,28.82,311,1,3,3,1,D,67
01/09/2013,WY,30.36,311,1,3,5,1,D,60
01/09/2013,ZMH,70.57,311,1,3,3,1,D,67
01/11/2013,BSX,6.36,311,2,2,3,1,D,67
01/11/2013,STT,50.58,311,3,2,3,1,D,58
01/11/2013,SYK,58.84,311,2,2,4,1,D,63
01/14/2013,MSI,57.67,311,1,3,0,1,D,60
01/17/2013,CAH,44.16,311,1,2,4,1,D,72
01/18/2013,CMA,33.66,311,4,1,2,1,D,72
01/18/2013,PH,93.70,311,1,2,3,1,D,75
01/22/2013,BLK,236.96,311,1,1,2,1,D,92
01/22/2013,BSX,6.86,311,1,1,1,1,D,100
01/22/2013,GNW,9.42,311,1,1,3,1,D,83
