TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER
ADD,8/28/98,SWN,7.19,0.5,3508.771929824562,25228.070175438603,x
ADD,10/19/98,SWN,5.69,0.5,3508.771929824562,19964.91228070176,x
SUB,4/8/02,SWN,13.75,1.0,7272.727272727273,100000.0,x
SUB,6/15/05,SWN,43.49,2.0,2299.379167624741,100000.0,x
ADD,6/12/06,SWN,25.88,1.0,4786.053220176007,123863.05733815506,x
ADD,6/13/06,SWN,24.8,1.0,4786.053220176007,118694.11986036498,x
SUB,3/21/14,SWN,46.57,1.0,2147.305132059266,100000.0,x
ADD,1/7/15,SWN,24.24,0.5,1073.652566029633,26025.3382005583,x
SUB,3/21/95,SYK,47.25,0.5,1058.2010582010582,50000.0,x
SUB,7/16/97,SYK,42.81,1.0,1167.95141322121,50000.0,x
SUB,1/30/07,SYK,61.86,2.0,1616.5535079211122,100000.0,x
ADD,11/14/08,SYK,44.59,0.5,3688.4919066036045,164469.85411545474,x
ADD,11/17/08,SYK,43.66,0.5,3688.491906603604,161039.55664231334,x
ADD,11/18/08,SYK,40.83,0.5,3688.4919066036045,150601.12454662516,x
ADD,11/19/08,SYK,38.83,1.0,3688.4919066036045,143224.14073341797,x
SUB,1/8/10,SYK,55.42,0.5,902.2013713460844,50000.0,x
SUB,1/18/13,SYK,61.55,1.0,812.3476848090984,50000.0,x
SUB,1/24/13,SYK,63.45,2.0,1576.0441292356186,100000.0,x
SUB,5/23/97,SYMC,18.94,1.0,5279.831045406547,100000.0,x
ADD,10/2/98,SYMC,10.13,2.0,5279.831045406547,53484.68848996832,x
SUB,1/26/04,SYMC,39.85,1.0,2509.410288582183,100000.0,x
SUB,9/20/06,SYMC,20.95,2.0,4773.26968973747,100000.0,x
SUB,12/18/97,SYY,47.13,2.0,4243.58158285593,200000.0,x
ADD,7/23/02,SYY,21.81,0.5,4243.58158285593,92552.51432208782,x
ADD,11/4/05,SYY,30.04,0.5,4243.58158285593,127477.19074899213,x
ADD,10/8/08,SYY,27.0,2.0,8487.16316571186,229153.4054742202,x
SUB,9/3/14,SYY,38.51,0.5,1298.3640612827837,50000.0,x
SUB,9/15/95,T,54.5,0.5,917.4311926605504,50000.0,x
